d, p                    , mwpm_ler, transformer_ler       , improvement_pct
3, 0.0015               , 0.00019 , 0.00014999999999998348, 21.052631578956067
3, 0.0018519816306882234, 0.00033 , 0.00026999999999999247, 18.181818181820464
3, 0.0022865573069377402, 0.00044 , 0.00034999999999996145, 20.454545454554218
3, 0.002823108086643085 , 0.00069 , 0.0004899999999999904 , 28.985507246378194
3, 0.003485562878606913 , 0.00122 , 0.0009700000000000264 , 20.49180327868636
3, 0.0043034656158591825, 0.00164 , 0.0014600000000000168 , 10.975609756096533
3, 0.005313292845913057 , 0.00286 , 0.0020099999999999563 , 29.72027972028125
3, 0.006560080499398755 , 0.00384 , 0.0030400000000000427 , 20.833333333332224
3, 0.008099432387148347 , 0.00567 , 0.0047199999999999465 , 16.754850088184362
3, 0.01                 , 0.00857 , 0.006900000000000017  , 19.48658109684927
5, 0.0015               , 0.0     , 0.0                   , nan
5, 0.0018519816306882234, 2e-05   , 0.0                   , 100.0
5, 0.0022865573069377402, 3e-05   , 9.99999999995449e-06  , 66.66666666681836
5, 0.002823108086643085 , 6e-05   , 2.999999999997449e-05 , 50.00000000004251
5, 0.003485562878606913 , 0.00012 , 5.999999999994898e-05 , 50.00000000004251
5, 0.0043034656158591825, 0.00016 , 0.00014999999999998348, 6.250000000010333
5, 0.005313292845913057 , 0.00043 , 0.00029999999999996696, 30.232558139542565
5, 0.006560080499398755 , 0.00069 , 0.0006099999999999994 , 11.594202898550803
5, 0.008099432387148347 , 0.00136 , 0.0011799999999999589 , 13.23529411765009
5, 0.01                 , 0.00231 , 0.0023300000000000542 , -0.8658008658032148
7, 0.0015               , 0.0     , 0.0                   , nan
7, 0.0018519816306882234, 0.0     , 0.0                   , nan
7, 0.0022865573069377402, 0.0     , 0.0                   , nan
7, 0.002823108086643085 , 0.0     , 0.0                   , nan
7, 0.003485562878606913 , 0.0     , 2.0000000000020002e-05, nan
7, 0.0043034656158591825, 1e-05   , 2.999999999997449e-05 , -199.99999999974492
7, 0.005313292845913057 , 4e-05   , 7.999999999996898e-05 , -99.99999999992245
7, 0.006560080499398755 , 8e-05   , 0.00014999999999998348, -87.49999999997934
7, 0.008099432387148347 , 0.00027 , 0.0006500000000000394 , -140.74074074075534
7, 0.01                 , 0.00036 , 0.0016100000000000003 , -347.2222222222223
